tamanho,tipo_dados,valor_buscado,posicao_busca,comp_sequencial,comp_binaria,comp_arvore,tempo_seq_us,tempo_bin_us,tempo_arv_us,altura_arvore,encontrado_seq,encontrado_bin,encontrado_arv
100,ordenado,2,inicio,2,13,1,0.00,0.00,0.00,100,1,1,1
100,ordenado,51,meio,51,11,50,0.00,0.00,0.00,100,1,1,1
100,ordenado,100,fim,100,13,99,0.00,0.00,0.00,100,1,1,1
100,ordenado,10099,inexistente,100,14,99,0.00,0.00,0.00,100,0,0,0
100,embaralhado,2,inicio,82,13,10,0.00,0.00,0.00,11,1,1,1
100,embaralhado,51,meio,45,11,4,0.00,0.00,0.00,11,1,1,1
100,embaralhado,100,fim,54,13,3,0.00,0.00,0.00,11,1,1,1
100,embaralhado,10099,inexistente,100,14,3,0.00,0.00,0.00,11,0,0,0
1000000,ordenado,10001,inicio,10001,33,-1,0.00,0.00,-1.00,-1,1,1,0
1000000,ordenado,500001,meio,500001,37,-1,0.00,0.00,-1.00,-1,1,1,0
1000000,ordenado,990001,fim,990001,39,-1,1000.00,0.00,-1.00,-1,1,1,0
1000000,ordenado,1009999,inexistente,1000000,40,-1,2000.00,0.00,-1.00,-1,0,0,0
1000000,embaralhado,10001,inicio,971521,33,32,1000.00,0.00,0.00,75,1,1,1
1000000,embaralhado,500001,meio,413540,37,34,0.00,0.00,0.00,75,1,1,1
1000000,embaralhado,990001,fim,947970,39,59,1000.00,0.00,0.00,75,1,1,1
1000000,embaralhado,1009999,inexistente,1000000,40,41,1000.00,0.00,0.00,75,0,0,0
